2015-01-14 11:00:02,911 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:03,415 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:03,918 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:04,420 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:04,924 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:05,427 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:05,930 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:06,432 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:06,934 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:07,437 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:07,941 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:08,445 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:08,949 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:09,451 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:09,954 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:10,457 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:10,959 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:11,462 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:11,965 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:12,467 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:12,970 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:13,472 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:13,975 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:14,477 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:14,980 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:15,482 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:15,986 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:16,489 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:16,991 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:17,493 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:17,997 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:18,501 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:19,004 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:19,507 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:20,009 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:20,513 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:21,016 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:21,518 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:22,021 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:22,523 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:23,026 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:23,529 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:24,035 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:24,539 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:25,041 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:25,544 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:26,047 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:26,549 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:27,102 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:27,613 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:28,122 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:28,642 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:29,146 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:29,649 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:30,153 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:30,655 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:31,158 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:31,661 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:32,165 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:32,667 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:33,171 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:33,674 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:34,177 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:34,680 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:35,184 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:35,687 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:36,191 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:36,693 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:37,238 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:37,765 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:38,268 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:38,771 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:39,274 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:39,778 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:40,281 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:40,784 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:41,286 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:41,789 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:42,292 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:42,795 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:43,299 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:43,802 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:44,305 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:44,808 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:45,312 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:45,814 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:46,317 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:46,819 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:47,322 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:47,825 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:48,328 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:48,832 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:49,334 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:49,837 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:50,339 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:50,845 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:51,347 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:51,850 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:52,354 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
2015-01-14 11:00:52,858 | ERROR | MessagingDaemon | pingDatabaseServer() | -1 | Socket Exception No route to host: connect
